configuration;test;unknown;true;false;hazard_probability;unavail
M-AIR-US-(2);T;0.035037441999999995;0.9645128298;4.497282000000001E-4;4.497282000000001E-4;0.035037441999999995;
IL-PIR-US-(2);T;0.036297639999999985;0.9630758088;6.265512000000001E-4;6.265512000000001E-4;0.036297639999999985;
M-VIP-MWR-(2);T;0.04294449999999999;0.9548644500000001;0.0021910500000000004;0.0021910500000000004;0.04294449999999999;
M-AIR-US-MWR-(3);T;0.06700514801319998;0.9329852535354;9.598451400000004E-6;9.598451400000004E-6;0.06700514801319998;
M-PIR-US-VIP-(3);T;0.07498375353999999;0.924989933205;2.6313255000000008E-5;2.6313255000000008E-5;0.07498375353999999;
M-AIR-US-MWR-VIP-(3);T;0.014324725722159991;0.985614523787466;6.075049037400002E-5;6.075049037400002E-5;0.014324725722159991;
IL-PIR-US-MWR-VIP-(3);T;0.014801588125119995;0.985120094605896;7.831726898400002E-5;7.831726898400002E-5;0.014801588125119995;
IL-PIR-US-MWR-VIP-(4);T;0.11549671700031997;0.8845026144075361;6.685921440000005E-7;6.685921440000005E-7;0.11549671700031997;
